count,aX,aY,aZ,gX,gY,gZ
1,0.12,0.201,-2.507,-27.344,-7.141,11.78
2,0.13,0.209,-2.7,-26.489,-21.484,8.667
3,0.103,0.183,-2.853,-23.071,-39.917,4.211
4,0.056,0.128,-2.99,-17.395,-62.012,-0.671
5,0.02,0.057,-3.094,-11.169,-87.341,-4.456
6,-0.054,-0.008,-3.158,-2.869,-115.723,-6.592
7,-0.138,-0.065,-3.171,5.737,-147.339,-7.324
8,-0.177,-0.116,-3.179,12.634,-180.176,-6.226
9,-0.259,-0.117,-3.129,13.672,-213.318,-3.54
10,-0.367,-0.089,-3.015,19.714,-247.925,-0.916
11,-0.446,-0.055,-2.871,18.372,-283.63,0.854
12,-0.547,-0.021,-2.67,15.076,-319.824,1.404
13,-0.704,0.007,-2.346,16.113,-358.398,0.793
14,-0.711,0.033,-1.954,23.437,-392.822,-0.61
15,-0.648,0.031,-1.572,37.598,-413.513,-3.845
16,-0.666,-0.017,-1.222,45.837,-425.476,-8.85
17,-0.681,-0.071,-0.895,49.622,-428.955,-13.916
18,-0.658,-0.118,-0.63,50.476,-426.88,-17.334
19,-0.636,-0.154,-0.387,45.837,-423.279,-18.616
20,-0.57,-0.171,-0.143,41.748,-421.631,-18.066
21,-0.486,-0.158,0.086,36.865,-416.26,-16.113
22,-0.412,-0.133,0.266,30.518,-401.428,-13.977
23,-0.339,-0.11,0.413,25.818,-384.216,-13
24,-0.271,-0.081,0.527,17.761,-365.479,-12.085
25,-0.243,-0.063,0.614,10.864,-344.482,-11.658
26,-0.218,-0.057,0.703,11.414,-326.111,-12.207
27,-0.169,-0.069,0.806,11.353,-310.242,-13.306
28,-0.122,-0.095,0.904,10.986,-292.908,-14.16
29,-0.086,-0.13,0.991,11.475,-273.437,-14.343
30,-0.054,-0.168,1.057,12.085,-252.869,-13.062
31,-0.044,-0.204,1.095,12.695,-231.14,-10.864
32,-0.031,-0.198,1.12,10.193,-209.412,-7.08
33,-0.013,-0.149,1.139,6.226,-188.965,-2.441
34,-0.003,-0.072,1.147,4.456,-169.922,2.197
35,0.013,0.019,1.158,1.953,-152.832,4.944
36,0.047,0.085,1.179,-2.319,-137.146,5.066
37,0.062,0.102,1.192,-4.578,-122.375,2.258
38,0.078,0.073,1.208,-6.775,-106.934,-1.831
39,0.09,0.027,1.228,-9.644,-92.041,-5.31
40,0.082,-0.02,1.241,-11.78,-76.599,-7.141
41,0.07,-0.06,1.263,-12.756,-61.218,-7.996
42,0.049,-0.084,1.299,-12.512,-46.57,-7.629
43,0.032,-0.093,1.347,-11.292,-31.677,-5.981
44,0.021,-0.103,1.4,-9.033,-15.442,-4.089
45,0.018,-0.106,1.439,-6.775,2.869,-1.343
46,0.016,-0.098,1.462,-4.211,23.437,2.075
47,0.01,-0.084,1.46,-1.648,46.082,5.31
48,0.004,-0.057,1.454,-0.366,68.97,7.996
49,-0.003,-0.025,1.425,0,91.98,9.949
50,-0.008,-0.002,1.4,-0.61,114.929,10.742
51,0.004,0.013,1.373,-2.075,137.39,10.315
52,-0.011,0.006,1.305,-4.578,161.926,9.094
53,-0.033,-0.026,1.224,-7.507,186.401,7.263
54,-0.06,-0.062,1.119,-9.216,211.304,6.042
55,-0.087,-0.097,1.016,-10.986,233.643,5.676
56,-0.093,-0.115,0.911,-11.597,254.517,6.775
57,-0.099,-0.138,0.799,-10.437,275.452,8.789
58,-0.103,-0.18,0.662,-7.69,298.096,10.986
59,-0.12,-0.212,0.5,-4.578,321.289,14.282
60,-0.159,-0.21,0.3,-1.526,344.055,19.226
61,-0.196,-0.163,0.06,0,365.417,25.269
62,-0.247,-0.049,-0.208,-2.747,383.057,31.433
63,-0.268,0.107,-0.468,-10.62,394.104,36.072
64,-0.268,0.266,-0.711,-22.949,397.095,35.828
65,-0.231,0.377,-0.943,-34.424,392.151,29.48
66,-0.192,0.402,-1.138,-46.021,380.249,18.066
67,-0.159,0.315,-1.392,-54.138,375.427,3.967
68,-0.115,0.164,-1.555,-59.998,363.159,-9.155
69,-0.09,-0.018,-1.73,-57.8,348.694,-18.799
