count,aX,aY,aZ,gX,gY,gZ
109,0.167,-0.016,-1.098,-4.944,-6.653,-0.732
110,0.164,0.014,-1.08,-5.676,-8.301,1.099
111,0.166,0.055,-1.052,-5.798,-9.827,1.953
112,0.169,0.076,-1.01,-5.859,-10.742,1.282
113,0.179,0.071,-0.964,-6.409,-10.62,-0.305
114,0.19,0.046,-0.939,-7.446,-8.484,-2.197
115,0.194,0.015,-0.946,-7.935,-5.554,-3.54
116,0.201,-0.016,-0.969,-7.812,-2.869,-4.395
117,0.205,-0.047,-0.997,-6.897,-0.793,-4.578
118,0.204,-0.069,-1.023,-4.944,0.244,-3.784
119,0.201,-0.067,-1.035,-3.479,0.366,-2.197

1,0.08,1.31,-1.917,-205.933,50.781,-52.429
2,-0.017,1.37,-2.303,-224.365,38.208,-76.965
3,-0.16,1.326,-2.573,-251.16,11.902,-104.492
4,-0.249,1.19,-2.724,-279.48,-24.17,-132.751
5,-0.369,0.885,-2.755,-303.65,-65.002,-161.987
6,-0.487,0.442,-2.691,-323.914,-108.276,-188.538
7,-0.55,-0.059,-2.545,-340.576,-149.963,-207.153
8,-0.605,-0.537,-2.349,-345.581,-189.819,-216.553
9,-0.617,-0.947,-2.1,-344.299,-227.356,-216.553
10,-0.593,-1.285,-1.819,-331.909,-255.676,-209.961
11,-0.602,-1.542,-1.582,-307.617,-275.818,-198.669
12,-0.573,-1.75,-1.321,-324.158,-292.236,-176.636
13,-0.537,-1.846,-1.025,-332.214,-302.551,-149.78
14,-0.501,-1.922,-0.828,-320.74,-307.373,-123.657
15,-0.501,-1.994,-0.696,-307.495,-307.19,-97.778
16,-0.521,-2.115,-0.633,-286.987,-306.396,-71.777
17,-0.552,-2.218,-0.571,-270.813,-304.871,-43.213
18,-0.617,-2.342,-0.555,-244.202,-304.81,-14.221
19,-0.725,-2.446,-0.545,-209.9,-305.786,15.076
20,-0.889,-2.484,-0.487,-171.692,-311.34,46.692
21,-1.104,-2.482,-0.321,-126.526,-326.843,77.759
22,-1.251,-2.384,0.053,-97.656,-351.746,109.924
23,-1.285,-2.248,0.59,-81.543,-377.625,140.747
24,-1.286,-2.073,1.071,-75.073,-384.583,170.471
25,-1.285,-1.825,1.48,-86.121,-365.845,199.28
26,-1.202,-1.556,1.789,-91.125,-330.994,223.45
27,-1.053,-1.335,1.986,-97.107,-283.081,241.089
28,-0.927,-1.221,1.991,-97.412,-219.727,251.648
29,-0.88,-1.148,1.796,-90.332,-151.367,259.277
