count,aX,aY,aZ,gX,gY,gZ
1,0.552,-0.964,-1.771,24.536,-25.696,65.491
2,0.526,-1.029,-1.842,23.682,-40.771,93.628
3,2.417,0.355,-1.597,20.142,-65.125,123.718
4,0.728,0.739,-1.775,105.408,-76.538,93.628
5,0.358,0.513,-2.158,36.316,-73.975,28.32
6,0.068,0.387,-2.471,30.884,-86.853,5.737
7,0.047,0.174,-2.333,21.484,-116.699,16.113
8,0.197,0.001,-2.137,-0.305,-148.865,40.833
9,0.245,0.132,-2.104,-5.737,-169.922,68.359
10,0.24,0.437,-1.995,-6.165,-188.782,85.449
11,0.133,0.78,-1.816,-7.019,-204.956,89.783
12,0.042,1.147,-1.675,-6.287,-216.98,84.351
13,-0.049,1.543,-1.649,-2.93,-223.022,70.618
14,-0.118,1.852,-1.615,3.845,-229.797,47.607
15,-0.22,1.893,-1.558,12.634,-239.258,14.954
16,-0.347,1.854,-1.198,-7.08,-253.296,-17.7
17,-0.466,1.638,-0.988,22.461,-259.705,-51.636
18,-0.552,1.466,-0.643,41.87,-261.841,-80.811
19,-0.582,1.388,-0.318,48.828,-259.583,-103.516
20,-0.583,1.325,0.049,47.485,-259.155,-124.512
21,-0.589,1.287,0.369,50.049,-241.028,-145.447
22,-0.646,1.181,0.583,84.167,-207.336,-170.776
23,-0.695,1.033,0.774,92.529,-172.913,-192.932
24,-0.716,0.905,0.961,98.328,-137.695,-211.365
25,-0.701,0.881,1.074,99.426,-97.839,-225.159
26,-0.722,0.916,1.1,99.548,-54.26,-239.38
27,-0.723,0.892,1.078,93.506,-14.526,-258.423
28,-0.75,0.672,1.034,90.454,18.188,-282.593
29,-0.802,0.318,1.023,94.421,43.274,-307.007
30,-0.818,-0.077,1.062,97.229,64.026,-325.134
31,-0.829,-0.486,1.067,100.464,91.37,-334.9
32,-0.756,-0.897,1.036,106.079,124.634,-336.975
33,-0.621,-1.266,1.011,112.671,158.264,-331.421
34,-0.526,-1.537,0.917,123.901,198.669,-318.909
35,-0.499,-1.771,0.696,136.108,246.765,-301.27
36,-0.484,-1.93,0.412,135.498,292.603,-278.809
