count,aX,aY,aZ,gX,gY,gZ
1,0.211,-0.112,-1.744,27.771,-115.112,-141.968
2,0.153,-0.224,-1.754,23.987,-112.61,-141.968
3,0.276,-0.312,-1.644,-41.016,-122.07,-138.55
4,0.222,-0.376,-1.734,-52.124,-127.625,-135.864
5,0.291,-0.353,-1.715,-64.148,-137.634,-131.104
6,0.934,0.182,-1.605,-51.941,-148.804,-131.775
7,-0.004,0.051,-1.771,-12.573,-153.87,-157.776
8,0.028,-0.217,-1.826,-69.702,-163.025,-179.199
9,0.028,-0.519,-1.81,-50.842,-177.307,-187.195
10,0.055,-0.902,-1.75,-42.053,-192.871,-185.608
11,0.111,-1.307,-1.734,-25.574,-204.285,-176.697
12,0.184,-1.518,-1.58,-18.372,-216.064,-159.058
13,0.12,-1.514,-1.408,-10.62,-227.356,-138.977
14,0.107,-1.62,-1.27,-7.385,-232.483,-126.221
15,0.037,-1.787,-1.144,-7.019,-239.319,-113.831
16,0.025,-1.919,-1.067,0.916,-244.751,-96.191
17,-0.008,-1.948,-0.893,-21.423,-250.488,-72.693
18,-0.077,-1.935,-0.82,-38.269,-257.446,-47.18
19,-0.164,-1.967,-0.597,-51.086,-267.09,-20.874
20,-0.273,-1.957,-0.473,-42.542,-273.254,6.042
21,-0.322,-1.906,-0.266,-28.809,-286.255,33.386
22,-0.422,-1.868,-0.094,-1.343,-299.561,59.998
23,-0.575,-1.786,0.163,-14.16,-302.429,91.858
24,-0.693,-1.681,0.569,-20.752,-316.467,125.427
25,-0.806,-1.503,0.96,-28.625,-319.031,160.767
26,-0.836,-1.232,1.365,-55.664,-304.199,195.984
27,-0.773,-0.929,1.726,-81.299,-277.771,226.624
28,-0.709,-0.623,2.004,-96.252,-230.957,248.352
29,-0.639,-0.337,2.215,-100.83,-172.424,259.888
30,-0.599,-0.09,2.36,-96.558,-108.093,262.268
31,-0.63,0.083,2.276,-71.106,-34.119,257.202
32,-0.665,0.165,2.066,-61.768,37.903,248.413
33,-0.703,0.169,1.802,-63.66,99.06,239.929
34,-0.771,0.128,1.506,-60.181,151.428,232.849
35,-0.854,0.124,1.209,-56.274,193.298,228.516
36,-0.955,0.219,0.951,-56.03,224.304,226.929
37,-1.027,0.448,0.72,-56.519,245.911,228.394
38,-1.035,0.825,0.503,-64.209,261.78,231.567
39,-0.988,1.272,0.258,-76.721,276.794,231.323
40,-0.937,1.686,0.038,-84.473,288.269,223.145
41,-0.873,1.963,-0.115,-74.707,288.452,205.505
42,-0.813,2.105,-0.196,-51.514,281.555,179.749
43,-0.732,2.143,-0.217,-31.372,274.231,149.292
44,-0.664,2.073,-0.261,-19.714,274.17,116.15
45,-0.615,1.926,-0.344,-15.564,283.325,82.825
46,-0.614,1.759,-0.469,-22.278,298.035,52.673
47,-0.621,1.618,-0.63,-34.241,314.453,27.893
48,-0.617,1.494,-0.811,-48.157,328.674,7.08
49,-0.625,1.391,-0.988,-52.307,340.881,-9.705
50,-0.638,1.403,-1.122,-43.03,346.741,-23.254
51,-0.675,1.472,-1.285,-28.32,352.295,-34.485
52,-0.706,1.613,-1.593,-16.418,363.953,-42.664
53,-0.737,1.802,-1.915,-18.127,358.704,-49.622
54,-0.765,2.137,-2.412,-33.081,355.103,-58.716
55,-0.77,2.533,-2.816,-54.138,338.989,-78.857
56,-0.756,2.804,-3.076,-64.087,305.847,-118.53
57,-0.737,2.706,-3.322,-54.382,267.273,-176.636
58,-0.75,2.07,-3.444,-48.889,226.379,-241.882
59,-0.752,1.106,-3.395,-47.546,186.279,-299.194
60,-0.616,0.206,-3.236,-57.251,150.574,-338.257
61,-0.431,-0.461,-3.123,-82.703,121.277,-358.521
62,-0.599,-1.081,-2.547,-105.591,91.431,-368.53
63,-0.501,-1.963,-3.387,-1.648,88.562,-369.019
64,-0.309,-2.287,-2.994,-87.891,39.795,-325.989
