count,aX,aY,aZ,gX,gY,gZ
1,0.156,0.223,-2.283,-0.61,-107.971,-2.136
2,0.142,0.293,-2.376,-2.014,-123.84,-1.221
3,0.122,0.357,-2.419,-5.432,-144.226,-2.502
4,0.105,0.362,-2.417,-8.667,-167.297,-6.104
5,0.097,0.284,-2.412,-11.353,-190.369,-12.329
6,0.009,0.172,-2.388,-12.573,-213.623,-18.555
7,-0.126,0.101,-2.291,-16.174,-239.685,-21.24
8,-0.223,0.091,-2.132,-19.775,-267.517,-20.386
9,-0.284,0.127,-1.914,-21.973,-295.532,-18.494
10,-0.366,0.15,-1.623,-23.132,-322.937,-18.372
11,-0.391,0.112,-1.313,-20.02,-343.75,-21.606
12,-0.394,0.011,-0.979,-15.32,-357.788,-26.245
13,-0.385,-0.107,-0.648,-10.254,-366.333,-29.358
14,-0.344,-0.206,-0.347,-8.911,-370.3,-28.809
15,-0.288,-0.28,-0.058,-7.568,-371.948,-25.085
16,-0.251,-0.313,0.172,-7.019,-362.244,-18.616
17,-0.205,-0.307,0.372,-5.859,-350.464,-11.169
18,-0.147,-0.285,0.496,-2.808,-331.909,-4.333
19,-0.12,-0.232,0.571,-5.005,-310.852,2.563
20,-0.106,-0.147,0.623,-7.935,-291.992,9.216
21,-0.086,-0.052,0.674,-9.766,-276.245,13.733
22,-0.055,0.03,0.745,-12.817,-264.832,15.747
23,-0.034,0.087,0.835,-16.357,-255.005,15.198
24,-0.007,0.104,0.955,-18.066,-245.361,12.817
25,0.035,0.087,1.086,-17.578,-234.436,10.437
26,0.074,0.076,1.221,-16.113,-220.154,9.277
27,0.106,0.092,1.346,-14.099,-201.599,9.583
28,0.142,0.148,1.449,-11.658,-179.871,10.437
29,0.176,0.228,1.519,-10.742,-155.884,10.62
30,0.209,0.301,1.556,-11.536,-130.31,8.667
31,0.236,0.339,1.56,-12.268,-103.821,4.639
32,0.247,0.31,1.532,-12.207,-77.942,-1.16
33,0.252,0.231,1.501,-12.878,-54.321,-6.592
34,0.246,0.138,1.471,-12.207,-33.264,-10.376
35,0.238,0.057,1.451,-9.827,-14.587,-11.23
36,0.234,0.009,1.429,-6.714,2.38,-9.583
37,0.226,0.019,1.41,-2.563,19.47,-6.287
38,0.222,0.073,1.387,1.343,36.56,-2.686
39,0.221,0.142,1.358,5.798,53.589,-0.061
40,0.223,0.203,1.322,8.545,70.374,0.183
41,0.219,0.241,1.269,9.888,87.585,-1.526
42,0.218,0.252,1.205,10.01,105.164,-4.7
43,0.212,0.227,1.127,9.399,121.887,-8.85
44,0.209,0.147,1.052,7.08,137.146,-14.221
45,0.208,0.027,0.972,4.333,152.344,-18.982
46,0.207,-0.098,0.893,3.113,166.626,-21.667
47,0.2,-0.208,0.83,2.563,179.687,-21.79
48,0.186,-0.3,0.765,4.578,193.542,-19.592
49,0.157,-0.361,0.704,7.263,207.703,-15.198
50,0.13,-0.382,0.645,8.301,221.741,-8.972
51,0.108,-0.37,0.561,10.864,237.427,-1.526
52,0.094,-0.314,0.445,15.625,254.272,6.897
53,0.073,-0.231,0.303,20.935,271.362,14.648
54,0.039,-0.141,0.154,26.245,286.926,21.057
55,0.004,-0.062,-0.002,31.006,301.331,25.452
56,-0.022,0.003,-0.185,34.668,315.613,28.198
57,-0.043,0.045,-0.414,35.522,330.566,29.724
58,-0.073,0.073,-0.702,33.63,344.238,30.457
59,-0.076,0.128,-1.017,25.513,350.037,30.945
60,-0.085,0.197,-1.332,16.663,347.046,30.518
61,-0.068,0.283,-1.567,3.113,331.726,28.442
62,-0.014,0.349,-1.74,-8.545,308.167,23.56
63,0.047,0.332,-1.824,-18.494,281.494,15.442
64,0.116,0.216,-1.882,-21.362,260.132,6.165
65,0.182,0.029,-1.927,-17.212,241.577,-1.282
66,0.212,-0.147,-1.978,-8.789,226.807,-3.113
67,0.225,-0.238,-2.03,-0.427,212.891,1.709
68,0.226,-0.193,-2.075,5.432,198.547,11.475
69,0.232,-0.013,-2.106,7.263,183.105,22.522
70,0.255,0.23,-2.112,5.31,166.809,30.09
71,0.303,0.448,-2.113,0.61,151.489,31.311
