aX,aY,aZ,gX,gY,gZ
0.391,0.064,-1.015,-2.991,6.165,3.052
0.389,0.072,-1.028,-2.747,4.822,3.052

0.378,0.114,-2.424,2.441,-7.507,7.690
0.367,0.135,-2.556,3.601,-24.719,7.507
0.346,0.169,-2.661,7.141,-45.776,6.958
0.288,0.206,-2.695,9.155,-70.679,5.737
0.259,0.275,-2.673,10.376,-98.206,4.517
0.225,0.359,-2.588,10.132,-125.732,2.380
0.198,0.387,-2.475,9.888,-151.611,-2.319
0.184,0.319,-2.374,10.437,-174.194,-9.460
0.145,0.162,-2.304,11.658,-192.932,-17.578
0.092,0.000,-2.250,12.634,-209.961,-22.278
0.013,-0.068,-2.196,11.536,-227.661,-21.301
-0.043,-0.026,-2.107,9.399,-248.291,-16.479
-0.097,0.071,-1.975,7.812,-270.813,-12.146
-0.153,0.165,-1.804,5.493,-293.762,-11.353
-0.195,0.216,-1.615,2.380,-314.819,-14.282
-0.257,0.196,-1.401,1.526,-333.679,-19.592
-0.325,0.124,-1.152,2.380,-350.220,-25.391
-0.338,0.054,-0.899,4.517,-363.586,-29.541
-0.365,-0.018,-0.635,6.165,-373.535,-31.799
-0.359,-0.087,-0.372,7.812,-381.897,-32.654
-0.292,-0.133,-0.135,8.057,-385.132,-31.921
-0.239,-0.143,0.050,9.766,-377.930,-29.053
-0.221,-0.133,0.184,10.925,-365.784,-25.940
-0.187,-0.105,0.287,10.254,-351.990,-23.621
-0.154,-0.059,0.374,8.240,-339.050,-21.484
-0.130,-0.010,0.450,6.592,-326.050,-20.386
-0.084,0.020,0.545,2.747,-315.369,-21.057
-0.051,0.026,0.623,1.465,-302.795,-23.193
-0.063,0.016,0.650,0.061,-288.269,-26.062
0.014,-0.003,0.713,-8.484,-275.818,-28.625
0.016,-0.050,0.802,-9.583,-268.860,-30.762
-0.004,-0.067,0.884,-3.967,-255.676,-30.640
0.005,-0.049,1.003,-0.427,-245.911,-28.198
0.022,-0.026,1.125,-2.441,-234.497,-26.306
0.062,0.007,1.244,-5.066,-219.238,-25.513
0.106,0.034,1.348,-7.812,-201.416,-25.635
0.144,0.023,1.431,-10.010,-180.603,-26.978
0.169,-0.028,1.488,-11.414,-158.142,-29.358
0.193,-0.114,1.529,-11.841,-134.888,-31.128
0.220,-0.200,1.567,-12.146,-112.244,-30.701
0.232,-0.266,1.586,-11.719,-88.074,-27.954
0.242,-0.290,1.584,-10.376,-62.927,-22.949
0.237,-0.273,1.554,-8.789,-38.330,-16.663
0.232,-0.234,1.504,-8.179,-15.198,-10.803
0.240,-0.191,1.439,-8.362,5.188,-6.287
0.247,-0.152,1.359,-8.179,23.987,-2.930
0.242,-0.127,1.268,-6.348,41.748,0.000
0.238,-0.118,1.190,-4.578,56.213,2.136
0.240,-0.120,1.141,-2.502,66.528,4.456
0.242,-0.122,1.115,0.610,75.562,7.202
0.259,-0.118,1.107,2.869,84.351,10.376
0.271,-0.102,1.103,5.371,94.421,13.733
0.288,-0.080,1.105,7.324,105.652,16.724
0.314,-0.050,1.090,8.301,118.469,19.287
