count,aX,aY,aZ,gX,gY,gZ
110,0.134,-0.243,-0.883,0.916,-5.493,3.662
111,0.129,-0.225,-0.904,2.441,-2.38,5.249
112,0.122,-0.181,-0.946,3.784,0.61,6.653
113,0.117,-0.141,-1.001,4.333,2.625,7.202
114,0.118,-0.132,-1.054,3.723,2.93,6.836
115,0.117,-0.152,-1.091,2.441,1.953,6.104
116,0.113,-0.166,-1.091,1.221,-0.671,6.104
117,0.111,-0.153,-1.056,0.549,-3.418,6.714
118,0.113,-0.131,-1.009,0.305,-5.066,7.08
119,0.115,-0.13,-0.976,-0.427,-5.066,7.019

1,0.161,-0.334,-2.378,-4.578,-18.616,15.747
2,0.166,-0.24,-2.461,-7.812,-39.001,19.836
3,0.169,-0.174,-2.448,-11.108,-60.974,21.484
4,0.168,-0.206,-2.389,-14.282,-80.872,20.508
5,0.152,-0.331,-2.347,-16.541,-96.497,19.287
6,0.124,-0.468,-2.349,-17.517,-109.375,20.691
7,0.091,-0.548,-2.369,-16.968,-121.582,25.818
8,0.048,-0.531,-2.415,-14.526,-133.484,33.752
9,0,-0.416,-2.457,-9.094,-146.729,42.725
10,-0.023,-0.225,-2.471,-2.93,-162.231,49.866
11,-0.056,-0.033,-2.449,3.784,-179.321,52.673
12,-0.083,0.068,-2.356,8.85,-198.547,50.232
13,-0.106,0.019,-2.257,12.756,-217.102,43.884
14,-0.136,-0.126,-2.118,14.099,-235.046,37.231
15,-0.17,-0.229,-1.923,14.16,-254.639,34.485
16,-0.214,-0.226,-1.678,11.536,-273.682,36.316
17,-0.22,-0.156,-1.406,7.996,-287.354,39.307
18,-0.202,-0.053,-1.18,2.563,-294.25,41.016
19,-0.182,0.004,-1.045,-2.441,-295.898,40.527
20,-0.18,-0.004,-0.965,-4.639,-296.509,37.354
21,-0.17,-0.056,-0.96,-5.31,-297.302,33.508
22,-0.179,-0.173,-0.94,-4.517,-299.805,30.701
23,-0.204,-0.262,-0.808,-2.258,-308.411,30.151
24,-0.209,-0.256,-0.579,0.366,-318.848,33.386
25,-0.193,-0.209,-0.364,1.77,-325.439,37.354
26,-0.143,-0.141,-0.135,0.61,-330.322,39.917
27,-0.103,-0.101,0.046,-2.991,-327.454,40.894
28,-0.069,-0.07,0.189,-6.165,-319.031,40.771
29,-0.03,-0.03,0.306,-9.46,-307.617,40.649
30,0.021,0.012,0.393,-12.817,-294.067,40.039
31,0.069,0.075,0.478,-16.541,-279.846,38.574
32,0.11,0.122,0.548,-17.517,-264.893,35.889
33,0.15,0.129,0.617,-15.564,-249.512,31.677
34,0.197,0.103,0.676,-13.55,-233.521,27.222
35,0.229,0.035,0.731,-11.353,-217.773,23.499
36,0.261,-0.053,0.822,-5.676,-204.529,21.118
37,0.305,-0.13,0.923,-1.709,-190.735,21.179
38,0.334,-0.159,0.999,0.427,-171.753,24.353
39,0.367,-0.108,1.034,0.671,-149.78,29.602
40,0.391,0.008,1.004,0.732,-125.122,34.973
41,0.412,0.166,0.937,0.305,-102.478,38.269
42,0.429,0.305,0.866,-3.174,-84.106,37.354
43,0.477,0.361,0.824,-4.639,-70.068,31.738
44,0.487,0.426,0.774,-7.751,-58.044,24.536
45,0.501,0.406,0.723,-2.686,-44.861,15.259
46,0.526,0.293,0.7,-4.028,-38.025,5.005
47,0.536,0.163,0.682,-3.296,-29.236,-2.136
48,0.545,0.06,0.663,-0.732,-21.484,-5.066
49,0.552,0.014,0.649,0,-13.733,-5.005
50,0.553,0.007,0.66,0,-7.69,-3.418
51,0.555,0.023,0.697,1.587,-3.357,-1.892
52,0.555,0.023,0.753,1.77,2.441,-1.282
