count,aX,aY,aZ,gX,gY,gZ
1,-0.038,1.055,-1.732,-129.761,-27.405,-100.037
2,-0.146,0.945,-1.845,-133.85,-33.936,-140.32
3,-0.255,0.649,-1.932,-141.479,-45.837,-179.016
4,-0.31,0.244,-2.004,-150.208,-61.829,-209.351
5,-0.37,-0.148,-2.029,-157.043,-80.566,-228.333
6,-0.38,-0.501,-1.997,-160.278,-100.647,-237.488
7,-0.416,-0.888,-1.888,-167.419,-121.643,-238.831
8,-0.412,-1.242,-1.721,-176.636,-144.47,-232.727
9,-0.365,-1.551,-1.54,-185.73,-165.527,-217.224
10,-0.349,-1.718,-1.31,-195.862,-178.833,-191.101
11,-0.302,-1.779,-1.198,-193.787,-184.082,-159.424
12,-0.26,-1.643,-1.101,-213.623,-185.547,-122.559
13,-0.247,-1.497,-1.049,-219.36,-187.012,-92.773
14,-0.256,-1.429,-1.006,-217.712,-187.744,-71.472
15,-0.266,-1.454,-0.978,-203.735,-188.477,-56.641
16,-0.282,-1.532,-0.963,-181.763,-189.392,-43.518
17,-0.302,-1.62,-0.945,-153.87,-192.383,-30.029
18,-0.334,-1.68,-0.902,-127.441,-198.364,-15.015
19,-0.367,-1.762,-0.787,-106.323,-208.435,0.183
20,-0.407,-1.862,-0.552,-89.233,-222.534,15.686
21,-0.434,-1.909,-0.252,-71.289,-236.267,32.349
22,-0.448,-1.962,0.007,-40.71,-249.207,48.035
23,-0.421,-1.893,0.264,-48.401,-244.995,68.115
24,-0.388,-1.759,0.404,-54.749,-228.821,87.708
25,-0.342,-1.581,0.423,-59.387,-204.651,104.492
26,-0.313,-1.443,0.323,-65.491,-177.734,117.004
27,-0.286,-1.365,0.182,-67.444,-157.349,125.183
28,-0.269,-1.314,0.01,-65.552,-142.395,132.324
29,-0.268,-1.248,-0.146,-61.096,-136.658,139.709
30,-0.281,-1.189,-0.223,-55.664,-141.235,147.339
31,-0.293,-1.167,-0.171,-49.744,-152.1,153.87
32,-0.312,-1.219,-0.017,-45.044,-164.429,159.119
33,-0.333,-1.259,0.236,-42.297,-180.115,165.466
34,-0.327,-1.237,0.524,-37.537,-189.88,174.316
35,-0.295,-1.171,0.755,-33.997,-184.937,184.387
36,-0.269,-1.046,0.899,-41.26,-165.405,195.618
37,-0.261,-0.891,0.915,-44.006,-136.108,205.261
38,-0.227,-0.734,0.875,-45.471,-107.361,211.975
39,-0.188,-0.6,0.799,-45.227,-81.909,214.722
40,-0.134,-0.506,0.705,-41.321,-60.486,214.233
41,-0.081,-0.462,0.627,-36.072,-44.922,211.548
42,-0.042,-0.424,0.563,-31.128,-33.63,209.229
43,-0.013,-0.397,0.504,-25.696,-23.56,207.52
44,0.012,-0.363,0.457,-20.813,-15.747,206.665
45,0.035,-0.326,0.412,-17.639,-9.399,206.604
46,0.046,-0.308,0.365,-14.343,-4.15,205.75
